,IMG,LABEL
0,"[[[ 74  74  74]
  [ 79  79  79]
  [ 87  87  87]
  ...
  [121 121 121]
  [122 122 122]
  [155 155 155]]

 [[  4   4   4]
  [  8   8   8]
  [  9   9   9]
  ...
  [ 99  99  99]
  [ 99  99  99]
  [137 137 137]]

 [[  6   6   6]
  [  7   7   7]
  [  7   7   7]
  ...
  [ 92  92  92]
  [ 89  89  89]
  [128 128 128]]

 ...

 [[241 241 241]
  [243 243 243]
  [244 244 244]
  ...
  [224 224 224]
  [213 213 213]
  [212 212 212]]

 [[243 243 243]
  [244 244 244]
  [245 245 245]
  ...
  [230 230 230]
  [220 220 220]
  [219 219 219]]

 [[244 244 244]
  [245 245 245]
  [246 246 246]
  ...
  [235 235 235]
  [226 226 226]
  [226 226 226]]]",1
1,"[[[103 103 103]
  [103 103 103]
  [107 107 107]
  ...
  [105 105 105]
  [105 105 105]
  [105 105 105]]

 [[121 121 121]
  [121 121 121]
  [119 119 119]
  ...
  [110 110 110]
  [109 109 109]
  [106 106 106]]

 [[157 157 157]
  [155 155 155]
  [152 152 152]
  ...
  [137 137 137]
  [146 146 146]
  [152 152 152]]

 ...

 [[179 179 179]
  [169 169 169]
  [170 170 170]
  ...
  [156 156 156]
  [177 177 177]
  [199 199 199]]

 [[177 177 177]
  [179 179 179]
  [178 178 178]
  ...
  [154 154 154]
  [171 171 171]
  [196 196 196]]

 [[185 185 185]
  [185 185 185]
  [184 184 184]
  ...
  [152 152 152]
  [162 162 162]
  [190 190 190]]]",1
2,"[[[ 21  21  21]
  [ 22  22  22]
  [ 27  27  27]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[ 35  35  35]
  [ 30  30  30]
  [ 37  37  37]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[124 124 124]
  [109 109 109]
  [ 78  78  78]
  ...
  [  5   5   5]
  [  6   6   6]
  [  8   8   8]]

 ...

 [[186 186 186]
  [186 186 186]
  [187 187 187]
  ...
  [166 166 166]
  [158 158 158]
  [152 152 152]]

 [[187 187 187]
  [185 185 185]
  [187 187 187]
  ...
  [166 166 166]
  [158 158 158]
  [150 150 150]]

 [[186 186 186]
  [184 184 184]
  [187 187 187]
  ...
  [166 166 166]
  [157 157 157]
  [150 150 150]]]",1
3,"[[[ 7  7  7]
  [ 8  8  8]
  [ 8  8  8]
  ...
  [ 0  0  0]
  [ 3  3  3]
  [ 3  3  3]]

 [[ 7  7  7]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 9  9  9]
  [ 2  2  2]
  [ 4  4  4]]

 [[ 6  6  6]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [25 25 25]
  [18 18 18]
  [ 4  4  4]]

 ...

 [[ 9  9  9]
  [ 6  6  6]
  [ 2  2  2]
  ...
  [ 9  9  9]
  [11 11 11]
  [12 12 12]]

 [[ 9  9  9]
  [ 6  6  6]
  [ 1  1  1]
  ...
  [ 9  9  9]
  [11 11 11]
  [27 27 27]]

 [[53 53 53]
  [ 5  5  5]
  [ 1  1  1]
  ...
  [ 9  9  9]
  [11 11 11]
  [19 19 19]]]",1
4,"[[[ 7  7  7]
  [ 8  8  8]
  [ 8  8  8]
  ...
  [17 17 17]
  [12 12 12]
  [ 5  5  5]]

 [[ 8  8  8]
  [ 8  8  8]
  [ 8  8  8]
  ...
  [39 39 39]
  [34 34 34]
  [24 24 24]]

 [[ 7  7  7]
  [ 7  7  7]
  [ 8  8  8]
  ...
  [57 57 57]
  [54 54 54]
  [43 43 43]]

 ...

 [[11 11 11]
  [80 80 80]
  [39 39 39]
  ...
  [11 11 11]
  [ 3  3  3]
  [ 6  6  6]]

 [[11 11 11]
  [92 92 92]
  [59 59 59]
  ...
  [12 12 12]
  [ 3  3  3]
  [ 6  6  6]]

 [[11 11 11]
  [74 74 74]
  [59 59 59]
  ...
  [13 13 13]
  [ 3  3  3]
  [ 6  6  6]]]",1
5,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 7  7  7]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [34 34 34]
  [ 3  3  3]
  [ 4  4  4]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 7  7  7]
  ...
  [79 79 79]
  [54 54 54]
  [18 18 18]]

 ...

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 2  2  2]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 4  4  4]]

 [[ 4  4  4]
  [ 3  3  3]
  [ 3  3  3]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 8  8  8]]]",1
6,"[[[ 22  22  22]
  [  0   0   0]
  [  0   0   0]
  ...
  [  3   3   3]
  [  3   3   3]
  [ 23  23  23]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  1   1   1]]

 [[  1   1   1]
  [  0   0   0]
  [  3   3   3]
  ...
  [  1   2   1]
  [  1   1   1]
  [  2   2   1]]

 ...

 [[ 50  51  36]
  [ 87  89  69]
  [133 133 125]
  ...
  [188 187 178]
  [162 163 140]
  [146 147 132]]

 [[  9   9   7]
  [ 59  57  47]
  [128 128 125]
  ...
  [194 193 191]
  [172 173 169]
  [141 141 138]]

 [[ 12  12  12]
  [ 32  32  31]
  [129 129 129]
  ...
  [202 202 202]
  [181 181 181]
  [161 161 161]]]",1
7,"[[[131 131 131]
  [123 123 123]
  [113 113 113]
  ...
  [102 102 102]
  [ 97  97  97]
  [ 95  95  95]]

 [[134 134 134]
  [124 124 124]
  [125 125 125]
  ...
  [111 111 111]
  [ 99  99  99]
  [ 97  97  97]]

 [[134 134 134]
  [126 126 126]
  [126 126 126]
  ...
  [ 98  98  98]
  [ 99  99  99]
  [ 98  98  98]]

 ...

 [[234 234 234]
  [223 223 223]
  [216 216 216]
  ...
  [170 170 170]
  [164 164 164]
  [147 147 147]]

 [[235 235 235]
  [229 229 229]
  [219 219 219]
  ...
  [166 166 166]
  [165 165 165]
  [147 147 147]]

 [[241 241 241]
  [234 234 234]
  [230 230 230]
  ...
  [160 160 160]
  [168 168 168]
  [150 150 150]]]",1
8,"[[[193 193 193]
  [189 189 189]
  [197 197 197]
  ...
  [202 202 202]
  [202 202 202]
  [200 200 200]]

 [[149 149 149]
  [143 143 143]
  [155 155 155]
  ...
  [163 163 163]
  [161 161 161]
  [162 162 162]]

 [[148 148 148]
  [145 145 145]
  [154 154 154]
  ...
  [162 162 162]
  [157 157 157]
  [153 153 153]]

 ...

 [[ 26  26  26]
  [ 67  67  67]
  [113 113 113]
  ...
  [ 85  85  85]
  [ 40  40  40]
  [ 16  16  16]]

 [[ 26  26  26]
  [ 67  67  67]
  [115 115 115]
  ...
  [ 86  86  86]
  [ 42  42  42]
  [ 17  17  17]]

 [[ 84  84  84]
  [ 78  78  78]
  [116 116 116]
  ...
  [ 84  84  84]
  [ 43  43  43]
  [ 18  18  18]]]",1
9,"[[[ 52  52  52]
  [ 30  30  30]
  [ 36  36  36]
  ...
  [ 39  39  39]
  [ 30  30  30]
  [ 23  22  20]]

 [[ 86  86  86]
  [ 66  66  66]
  [ 68  68  68]
  ...
  [ 67  67  67]
  [ 58  58  58]
  [ 53  52  50]]

 [[131 131 131]
  [123 123 123]
  [141 141 141]
  ...
  [ 97  97  97]
  [ 98  98  98]
  [ 77  76  75]]

 ...

 [[145 145 145]
  [205 205 205]
  [172 172 172]
  ...
  [103 103 103]
  [ 53  53  53]
  [ 15  13  12]]

 [[146 146 146]
  [203 203 203]
  [178 178 178]
  ...
  [101 101 101]
  [ 51  51  51]
  [ 10   9   8]]

 [[114 106  96]
  [156 148 137]
  [154 146 136]
  ...
  [ 87  80  69]
  [ 52  45  33]
  [ 25  14   4]]]",1
